phase,trial_number,image_1,image_2,chosen,chosen_side,onset_timestamp,decision_timestamp,response_time_ms
practice,0,practice_a,practice_b,practice_a,left,2026-03-12T16:39:08.143Z,2026-03-12T16:39:11.851Z,3708
practice,1,practice_a,practice_b,practice_b,right,2026-03-12T16:39:14.353Z,2026-03-12T16:39:16.249Z,1896
practice,2,practice_a,practice_b,practice_b,right,2026-03-12T16:39:18.750Z,2026-03-12T16:39:20.193Z,1443
main,0,Rococo_antoine-pesne_frederick-ii-of-prussia-1757,Rococo_jean-honore-fragonard_at-the-stove,Rococo_jean-honore-fragonard_at-the-stove,left,2026-03-12T16:39:27.355Z,2026-03-12T16:39:30.620Z,3265
main,1,Realism_john-singer-sargent_the-misses-vickers-1884,Realism_henri-fantin-latour_a-carafe-of-wine-and-plate-of-fruit-on-a-white-tablecloth-1865,Realism_henri-fantin-latour_a-carafe-of-wine-and-plate-of-fruit-on-a-white-tablecloth-1865,left,2026-03-12T16:39:33.303Z,2026-03-12T16:39:34.829Z,1526
main,2,Rococo_vladimir-borovikovsky_paul-i-1800,Realism_thomas-eakins_portrait-of-walt-whitman-1887,Realism_thomas-eakins_portrait-of-walt-whitman-1887,left,2026-03-12T16:39:37.504Z,2026-03-12T16:39:39.716Z,2212
main,3,Rococo_antoine-watteau_the-pleasures-of-the-ball-1714,Post_Impressionism_constantine-maleas_landscape-with-cypresses(1),Rococo_antoine-watteau_the-pleasures-of-the-ball-1714,right,2026-03-12T16:39:42.314Z,2026-03-12T16:39:45.934Z,3620
main,4,Rococo_william-hogarth_the-ball,Cubism_oscar-dominguez_tauromaquia-1943,Cubism_oscar-dominguez_tauromaquia-1943,left,2026-03-12T16:39:48.562Z,2026-03-12T16:39:50.178Z,1616
main,5,Cubism_andrã©-lhote_nature-morte-au-chinois-1930,Cubism_jean-metzinger_landscape-1917,Cubism_andrã©-lhote_nature-morte-au-chinois-1930,right,2026-03-12T16:39:52.864Z,2026-03-12T16:39:56.580Z,3716
main,6,Rococo_louise-elisabeth-vigee-le-brun_countess-bucquoi,Post_Impressionism_maxime-maufra_tuna-boat-at-sea-1907,Post_Impressionism_maxime-maufra_tuna-boat-at-sea-1907,right,2026-03-12T16:39:59.208Z,2026-03-12T16:40:00.781Z,1573
main,7,Realism_john-singer-sargent_the-misses-vickers-1884,Realism_henri-fantin-latour_chrysanthemums-1889,Realism_henri-fantin-latour_chrysanthemums-1889,left,2026-03-12T16:40:03.414Z,2026-03-12T16:40:04.780Z,1366
main,8,Cubism_louis-marcoussis_a-cello-1921,Post_Impressionism_pyotr-konchalovsky_imanda-resinification-networks-1937,Post_Impressionism_pyotr-konchalovsky_imanda-resinification-networks-1937,right,2026-03-12T16:40:07.509Z,2026-03-12T16:40:10.032Z,2523
main,9,Post_Impressionism_henri-de-toulouse-lautrec_at-the-moulin-rouge-the-dance-1890,Cubism_mario-sironi_saddled-horse,Post_Impressionism_henri-de-toulouse-lautrec_at-the-moulin-rouge-the-dance-1890,right,2026-03-12T16:40:12.729Z,2026-03-12T16:40:24.630Z,11901
main,10,Post_Impressionism_victor-borisov-musatov_walk-at-sunset-1903,Post_Impressionism_maurice-de-vlaminck_the-bridge-at-chatou,Post_Impressionism_maurice-de-vlaminck_the-bridge-at-chatou,left,2026-03-12T16:41:44.974Z,2026-03-12T16:41:48.515Z,3541
main,11,Realism_vincent-van-gogh_an-almshouse-man-in-a-top-hat-1882(1),Realism_ilya-repin_sketches-of-leo-tolstoy-1891,Realism_ilya-repin_sketches-of-leo-tolstoy-1891,right,2026-03-12T16:41:51.228Z,2026-03-12T16:42:01.133Z,9905
main,12,Rococo_allan-ramsay_self-portrait,Rococo_maurice-quentin-de-la-tour_study-for-portrait-of-mademoiselle-dangeville-1,Rococo_maurice-quentin-de-la-tour_study-for-portrait-of-mademoiselle-dangeville-1,left,2026-03-12T16:42:03.936Z,2026-03-12T16:42:08.559Z,4623
main,13,Realism_valentin-serov_portrait-of-grand-duke-georgy-mikhailovich-1901,Realism_ivan-kramskoy_portarait-of-philosopher-vladimir-solovyov-1885,Realism_ivan-kramskoy_portarait-of-philosopher-vladimir-solovyov-1885,right,2026-03-12T16:42:11.722Z,2026-03-12T16:42:16.253Z,4531
main,14,Realism_ivan-shishkin_stream-1883,Realism_ivan-shishkin_morning-in-a-pine-forest-1886,Realism_ivan-shishkin_stream-1883,left,2026-03-12T16:42:19.357Z,2026-03-12T16:42:23.109Z,3752
main,15,Rococo_antoine-pesne_friedrich-hoffmann-german-physician,Rococo_maurice-quentin-de-la-tour_prince-xavier-of-saxony,Rococo_maurice-quentin-de-la-tour_prince-xavier-of-saxony,right,2026-03-12T16:42:25.849Z,2026-03-12T16:42:28.788Z,2939
main,16,Realism_theodore-rousseau_landscape-with-a-church,Realism_fyodor-vasilyev_on-the-neva-1871,Realism_fyodor-vasilyev_on-the-neva-1871,left,2026-03-12T16:42:32.029Z,2026-03-12T16:42:37.130Z,5101
main,17,Realism_giovanni-boldini_moving-to-the-bois-de-boulogene,Post_Impressionism_vincent-van-gogh_violinist-seen-from-the-back-1887,Realism_giovanni-boldini_moving-to-the-bois-de-boulogene,right,2026-03-12T16:42:40.111Z,2026-03-12T16:42:43.533Z,3422
main,18,Post_Impressionism_david-burliuk_the-artist-s-wife-with-a-still-life-of-flowers,Post_Impressionism_vincent-van-gogh_still-life-vase-with-roses-1890,Post_Impressionism_david-burliuk_the-artist-s-wife-with-a-still-life-of-flowers,left,2026-03-12T16:42:46.948Z,2026-03-12T16:42:48.937Z,1989
main,19,Rococo_thomas-gainsborough_the-watering-place-1777,Rococo_thomas-gainsborough_river-landscape-1770,Rococo_thomas-gainsborough_the-watering-place-1777,left,2026-03-12T16:42:52.168Z,2026-03-12T16:42:57.775Z,5607
main,20,Realism_vasily-polenov_a-soldier-with-a-bundle-of-firewood-1883,Realism_ivan-shishkin_morning-in-a-pine-forest-1886,Realism_vasily-polenov_a-soldier-with-a-bundle-of-firewood-1883,left,2026-03-12T16:46:45.731Z,2026-03-12T16:46:48.099Z,2368
main,21,Realism_aleksey-savrasov_marshy-river-1875,Realism_vincent-van-gogh_head-of-a-woman-1884,Realism_aleksey-savrasov_marshy-river-1875,right,2026-03-12T16:46:51.235Z,2026-03-12T16:46:58.024Z,6789
main,22,Post_Impressionism_paul-gauguin_words-of-the-devil-1892,Cubism_gosta-adrian-nilsson_the-javelin-thrower,Cubism_gosta-adrian-nilsson_the-javelin-thrower,right,2026-03-12T16:47:01.306Z,2026-03-12T16:47:11.145Z,9839
main,23,Post_Impressionism_paul-cezanne_mont-sainte-victoire-with-large-pine-1887,Post_Impressionism_vincent-van-gogh_a-corner-of-the-asylum-and-the-garden-with-a-heavy-sawn-off-tree-1889(1),Post_Impressionism_paul-cezanne_mont-sainte-victoire-with-large-pine-1887,right,2026-03-12T16:47:14.517Z,2026-03-12T16:47:18.336Z,3819
main,24,Rococo_pietro-longhi_the-sleeping-woman,Realism_vasily-perov_girl,Realism_vasily-perov_girl,left,2026-03-12T16:47:21.790Z,2026-03-12T16:47:25.402Z,3612
main,25,Realism_john-everett-millais_a-jersey-lily-portrait-of-lillie-langtry,Realism_vasily-surikov_isba-1873,Realism_vasily-surikov_isba-1873,left,2026-03-12T16:47:28.866Z,2026-03-12T16:47:31.276Z,2410
main,26,Rococo_george-morland_lake-scene-and-a-cottage-1790,Rococo_george-morland_the-smugglers-1792,Rococo_george-morland_lake-scene-and-a-cottage-1790,right,2026-03-12T16:47:34.521Z,2026-03-12T16:47:47.134Z,12613
main,27,Rococo_claude-lorrain_pastoral-landscape-1677,Rococo_george-morland_the-smugglers-1792,Rococo_claude-lorrain_pastoral-landscape-1677,right,2026-03-12T16:47:50.358Z,2026-03-12T16:48:00.719Z,10361
main,28,Rococo_thomas-gainsborough_landscape-in-suffolk,Rococo_jean-honore-fragonard_the-zenith-1778,Rococo_thomas-gainsborough_landscape-in-suffolk,right,2026-03-12T16:48:11.247Z,2026-03-12T16:48:14.352Z,3105
main,29,Cubism_vladimir-tatlin_the-sailor-self-portrait-1912,Cubism_man-ray_portrait-of-alfred-stieglitz-1913,Cubism_vladimir-tatlin_the-sailor-self-portrait-1912,right,2026-03-12T16:48:19.236Z,2026-03-12T16:48:25.411Z,6176
main,30,Realism_henri-fantin-latour_hydrangias-cloves-and-two-pots-of-pansies-1879,Realism_ilya-repin_apples-and-leaves-1879,Realism_henri-fantin-latour_hydrangias-cloves-and-two-pots-of-pansies-1879,right,2026-03-12T16:49:14.653Z,2026-03-12T16:49:21.458Z,6805
main,31,Rococo_william-hogarth_surrounded-by-artists-and-professors,Rococo_louise-elisabeth-vigee-le-brun_madame-perregaux-1789,Rococo_louise-elisabeth-vigee-le-brun_madame-perregaux-1789,left,2026-03-12T16:49:27.434Z,2026-03-12T16:49:31.950Z,4516
main,32,Cubism_johannes-itten_der-bachs-nger-helge-lindberg-1916,Cubism_gosta-adrian-nilsson_sp-rvagnen-1914,Cubism_johannes-itten_der-bachs-nger-helge-lindberg-1916,left,2026-03-12T16:49:35.216Z,2026-03-12T16:49:56.602Z,21386
main,33,Rococo_vladimir-borovikovsky_portrait-of-an-unknown-with-a-child,Realism_peder-severin-kroyer_the-benzon-daughters-1897,Realism_peder-severin-kroyer_the-benzon-daughters-1897,right,2026-03-12T16:50:02.867Z,2026-03-12T16:51:43.754Z,100887
main,34,Cubism_roger-de-la-fresnaye_smoking-in-the-shelter-1918,Cubism_carlos-merida_the-prodigal-son-1973,Cubism_carlos-merida_the-prodigal-son-1973,left,2026-03-12T16:51:49.363Z,2026-03-12T17:16:26.057Z,1476694
main,35,Rococo_dmitry-levitzky_alexander-lanskoy-1780,Rococo_maurice-quentin-de-la-tour_antoine-gaspard-grimold-de-la-reyniere-1,Rococo_dmitry-levitzky_alexander-lanskoy-1780,left,2026-03-12T17:16:31.680Z,2026-03-12T17:16:50.234Z,18554
main,36,Realism_vincent-van-gogh_beach-and-sea-1882(1),Cubism_fernand-leger_the-two-faces-1951,Cubism_fernand-leger_the-two-faces-1951,left,2026-03-12T17:16:55.883Z,2026-03-12T17:18:26.575Z,90692
main,37,Rococo_william-hogarth_cruelty-in-perfection-1751,Rococo_william-hogarth_times-of-the-day-evening,Rococo_william-hogarth_times-of-the-day-evening,left,2026-03-12T17:18:30.583Z,2026-03-12T17:22:32.285Z,241703
main,38,Post_Impressionism_maxime-maufra_farm-in-the-trees,Post_Impressionism_paul-cezanne_ile-de-france-landscape-1880-1,Post_Impressionism_paul-cezanne_ile-de-france-landscape-1880-1,left,2026-03-12T17:22:36.365Z,2026-03-12T17:22:41.068Z,4703
main,39,Rococo_thomas-gainsborough_portrait-of-thomas-linley,Rococo_maurice-quentin-de-la-tour_study-for-portrait-of-mademoiselle-dangeville-1,Rococo_maurice-quentin-de-la-tour_study-for-portrait-of-mademoiselle-dangeville-1,right,2026-03-12T17:22:45.170Z,2026-03-12T17:22:48.576Z,3406
main,40,Rococo_giovanni-battista-tiepolo_christ-on-the-mount-of-olives-and-the-angel-with-the-cup-of-suffering,Rococo_george-morland_morning-the-benevolent-sportsman-1792,Rococo_george-morland_morning-the-benevolent-sportsman-1792,right,2026-03-12T17:23:29.731Z,2026-03-12T17:23:44.329Z,14598
main,41,Rococo_allan-ramsay_self-portrait,Rococo_maurice-quentin-de-la-tour_study-for-portrait-of-mademoiselle-dangeville-1,Rococo_maurice-quentin-de-la-tour_study-for-portrait-of-mademoiselle-dangeville-1,left,2026-03-12T17:23:49.480Z,2026-03-12T17:23:54.799Z,5319
main,42,Cubism_theo-van-doesburg_composition-the-cow-7,Realism_john-singer-sargent_seated-model-with-drapery,Cubism_theo-van-doesburg_composition-the-cow-7,left,2026-03-12T17:23:58.286Z,2026-03-12T17:24:00.591Z,2305
main,43,Realism_vasily-surikov_portrait-of-a-p-yurgenson-1908,Rococo_allan-ramsay_portrait-of-anne-brown,Rococo_allan-ramsay_portrait-of-anne-brown,right,2026-03-12T17:24:04.943Z,2026-03-12T17:24:45.280Z,40337
main,44,Rococo_joseph-wright_mrs-robert-gwillym,Rococo_louise-elisabeth-vigee-le-brun_countess-bucquoi,Rococo_louise-elisabeth-vigee-le-brun_countess-bucquoi,right,2026-03-12T17:24:51.842Z,2026-03-12T17:24:59.612Z,7770
main,45,Realism_vasily-surikov_portrait-of-a-p-yurgenson-1908,Realism_john-everett-millais_a-jersey-lily-portrait-of-lillie-langtry,Realism_john-everett-millais_a-jersey-lily-portrait-of-lillie-langtry,left,2026-03-12T17:25:03.925Z,2026-03-12T17:25:08.117Z,4192
main,46,Cubism_nikos-hadjikyriakos-ghikas_the-studio-in-hydra-1959,Realism_john-singer-sargent_muddy-alligators-1917,Cubism_nikos-hadjikyriakos-ghikas_the-studio-in-hydra-1959,left,2026-03-12T17:25:13.450Z,2026-03-12T17:25:17.730Z,4280
main,47,Rococo_jean-baptiste-simeon-chardin_basket-of-peaches-1768,Post_Impressionism_ilya-mashkov_roses-and-carnations-1939,Rococo_jean-baptiste-simeon-chardin_basket-of-peaches-1768,right,2026-03-12T17:25:21.333Z,2026-03-12T17:25:28.878Z,7545
main,48,Cubism_le-corbusier_taureau-bull-or-beefy-man-xviii-1958,Rococo_bernardo-bellotto_a-view-in-venice-from-the-punta-della-dogana-towards-san-giorgio-maggiore,Rococo_bernardo-bellotto_a-view-in-venice-from-the-punta-della-dogana-towards-san-giorgio-maggiore,left,2026-03-12T17:25:33.007Z,2026-03-12T17:25:40.755Z,7748
main,49,Post_Impressionism_gwen-john_the-convalescent-1924,Realism_vincent-van-gogh_peasant-woman-stooping-1885,Realism_vincent-van-gogh_peasant-woman-stooping-1885,left,2026-03-12T17:25:45.499Z,2026-03-12T17:27:00.122Z,74623
main,50,Realism_thomas-eakins_portrait-of-walt-whitman-1887,Realism_boris-kustodiev_self-portrait-1904,Realism_thomas-eakins_portrait-of-walt-whitman-1887,left,2026-03-12T17:29:24.892Z,2026-03-12T17:29:27.461Z,2569
main,51,Rococo_carl-ludwig-johann-christineck_portrait-of-a-woman,Rococo_joseph-wright_portrait-of-a-lady-1,Rococo_carl-ludwig-johann-christineck_portrait-of-a-woman,right,2026-03-12T17:29:31.190Z,2026-03-12T17:29:37.291Z,6101
main,52,Rococo_fyodor-rokotov_portrait-of-n-e-struisky,Realism_vasily-perov_portrait-of-n-f-rezanov-1868,Rococo_fyodor-rokotov_portrait-of-n-e-struisky,left,2026-03-12T17:29:41.226Z,2026-03-12T17:29:45.139Z,3913
main,53,Realism_mykola-pymonenko_from-the-forrest,Rococo_louise-elisabeth-vigee-le-brun_madame-perregaux-1789,Realism_mykola-pymonenko_from-the-forrest,right,2026-03-12T17:29:49.111Z,2026-03-12T17:29:51.575Z,2464
main,54,Cubism_paul-klee_castle-garden-1931(1),Realism_john-everett-millais_a-jersey-lily-portrait-of-lillie-langtry,Cubism_paul-klee_castle-garden-1931(1),right,2026-03-12T17:29:55.155Z,2026-03-12T17:29:57.250Z,2095
main,55,Rococo_william-hogarth_a-harlot-s-progress-plate-6,Rococo_benjamin-west_the-hope-family-of-sydenham-kent-1802,Rococo_benjamin-west_the-hope-family-of-sydenham-kent-1802,left,2026-03-12T17:30:00.664Z,2026-03-12T17:30:03.535Z,2871
main,56,Post_Impressionism_georges-braque_nude-study-1908,Realism_vincent-van-gogh_nude-woman-half-length-1882,Post_Impressionism_georges-braque_nude-study-1908,right,2026-03-12T17:30:07.645Z,2026-03-12T17:30:15.960Z,8315
main,57,Post_Impressionism_paul-gauguin_words-of-the-devil-1892,Cubism_gosta-adrian-nilsson_the-javelin-thrower,Cubism_gosta-adrian-nilsson_the-javelin-thrower,right,2026-03-12T17:30:19.730Z,2026-03-12T17:30:24.436Z,4706
main,58,Realism_ivan-kramskoy_portarait-of-philosopher-vladimir-solovyov-1885,Realism_boris-kustodiev_portrait-of-vladimir-nemirovich-danchenko-1915,Realism_ivan-kramskoy_portarait-of-philosopher-vladimir-solovyov-1885,right,2026-03-12T17:30:28.228Z,2026-03-12T17:30:38.454Z,10226
main,59,Realism_boris-kustodiev_drawing-hand-to-the-picture-merchant-s-wife-1915,Realism_nicholas-roerich_plitnaia-hill-1893,Realism_nicholas-roerich_plitnaia-hill-1893,left,2026-03-12T17:30:41.951Z,2026-03-12T17:30:43.984Z,2033
main,60,Realism_vasily-vereshchagin_after-failure-1868,Rococo_francisco-bayeu-y-subias_providence-presiding-over-the-virtues-and-faculties-of-man-fresco-detail,Realism_vasily-vereshchagin_after-failure-1868,right,2026-03-12T17:33:40.570Z,2026-03-12T17:33:48.024Z,7454
main,61,Rococo_maurice-quentin-de-la-tour_marie-leszczy-ska,Rococo_joshua-reynolds_portrait-of-lord-robert-spencer,Rococo_maurice-quentin-de-la-tour_marie-leszczy-ska,left,2026-03-12T17:33:51.813Z,2026-03-12T17:37:59.892Z,248079
main,62,Rococo_canaletto_santa-maria-zobenigo,Rococo_canaletto_piazza-san-marco-looking-east-from-the-north-west-corner,Rococo_canaletto_piazza-san-marco-looking-east-from-the-north-west-corner,right,2026-03-12T17:38:04.726Z,2026-03-12T17:38:08.227Z,3501
main,63,Realism_vasily-perov_girl,Cubism_jury-annenkov_dancer-in-the-landscape,Realism_vasily-perov_girl,left,2026-03-12T17:38:13.332Z,2026-03-12T17:38:17.742Z,4410
